x,pollutant_concentration,oxygen_concentration
39.9,0.00776413,11.9752
40,0.0076358,11.9756
40.1,0.00750959,11.9759
40.2,0.00738547,11.9763
40.3,0.0072634,11.9767
40.4,0.00714335,11.977
40.5,0.00702528,11.9774
40.6,0.00690916,11.9778
40.7,0.00679496,11.9781
40.8,0.00668265,11.9784
40.9,0.0065722,11.9788
41,0.00646357,11.9791
41.1,0.00635673,11.9794
41.2,0.00625167,11.9798
41.3,0.00614834,11.9801
41.4,0.00604671,11.9804
41.5,0.00594677,11.9807
41.6,0.00584848,11.981
41.7,0.00575181,11.9813
41.8,0.00565674,11.9816
41.9,0.00556324,11.9819
42,0.00547129,11.9822
42.1,0.00538086,11.9825
42.2,0.00529192,11.9827
42.3,0.00520445,11.983
42.4,0.00511843,11.9833
42.5,0.00503383,11.9835
42.6,0.00495063,11.9838
42.7,0.0048688,11.984
42.8,0.00478833,11.9843
42.9,0.00470918,11.9845
43,0.00463135,11.9848
43.1,0.0045548,11.985
43.2,0.00447951,11.9853
43.3,0.00440547,11.9855
43.4,0.00433266,11.9857
43.5,0.00426105,11.9859
43.6,0.00419062,11.9862
43.7,0.00412135,11.9864
43.8,0.00405323,11.9866
43.9,0.00398624,11.9868
44,0.00392035,11.987
44.1,0.00385555,11.9872
44.2,0.00379183,11.9874
44.3,0.00372915,11.9876
44.4,0.00366752,11.9878
44.5,0.0036069,11.988
44.6,0.00354728,11.9882
44.7,0.00348865,11.9884
44.8,0.00343099,11.9886
44.9,0.00337428,11.9888
45,0.00331851,11.9889
45.1,0.00326366,11.9891
45.2,0.00320971,11.9893
45.3,0.00315666,11.9895
45.4,0.00310449,11.9896
45.5,0.00305317,11.9898
45.6,0.00300271,11.9899
45.7,0.00295308,11.9901
45.8,0.00290427,11.9903
45.9,0.00285626,11.9904
46,0.00280905,11.9906
46.1,0.00276263,11.9907
46.2,0.00271696,11.9909
46.3,0.00267206,11.991
46.4,0.00262789,11.9912
46.5,0.00258446,11.9913
46.6,0.00254174,11.9914
46.7,0.00249973,11.9916
46.8,0.00245841,11.9917
46.9,0.00241778,11.9918
47,0.00237781,11.992
47.1,0.00233851,11.9921
47.2,0.00229986,11.9922
47.3,0.00226185,11.9923
47.4,0.00222446,11.9925
47.5,0.00218769,11.9926
47.6,0.00215153,11.9927
47.7,0.00211597,11.9928
47.8,0.002081,11.9929
47.9,0.0020466,11.993
48,0.00201278,11.9932
48.1,0.00197951,11.9933
48.2,0.00194679,11.9934
48.3,0.00191461,11.9935
48.4,0.00188297,11.9936
48.5,0.00185184,11.9937
48.6,0.00182123,11.9938
48.7,0.00179113,11.9939
48.8,0.00176153,11.994
48.9,0.00173241,11.9941
49,0.00170378,11.9942
49.1,0.00167562,11.9943
49.2,0.00164792,11.9944
49.3,0.00162068,11.9944
49.4,0.0015939,11.9945
49.5,0.00156755,11.9946
49.6,0.00154164,11.9947
49.7,0.00151616,11.9948
49.8,0.0014911,11.9949
49.9,0.00146646,11.995
50,0.00144222,11.995
50.1,0.00141838,11.9951
50.2,0.00139494,11.9952
50.3,0.00137188,11.9953
50.4,0.0013492,11.9953
50.5,0.0013269,11.9954
50.6,0.00130497,11.9955
50.7,0.0012834,11.9956
50.8,0.00126219,11.9956
50.9,0.00124133,11.9957
51,0.00122081,11.9958
51.1,0.00120063,11.9958
51.2,0.00118079,11.9959
51.3,0.00116127,11.996
51.4,0.00114208,11.996
51.5,0.0011232,11.9961
51.6,0.00110463,11.9962
51.7,0.00108638,11.9962
51.8,0.00106842,11.9963
51.9,0.00105076,11.9963
52,0.00103339,11.9964
52.1,0.00101631,11.9965
52.2,0.000999515,11.9965
52.3,0.000982994,11.9966
52.4,0.000966747,11.9966
52.5,0.000950768,11.9967
52.6,0.000935053,11.9967
52.7,0.000919598,11.9968
52.8,0.000904398,11.9968
52.9,0.00088945,11.9969
53,0.000874749,11.9969
53.1,0.00086029,11.997
53.2,0.000846071,11.997
53.3,0.000832087,11.9971
53.4,0.000818334,11.9971
53.5,0.000804808,11.9972
53.6,0.000791505,11.9972
53.7,0.000778423,11.9973
53.8,0.000765557,11.9973
53.9,0.000752903,11.9974
54,0.000740459,11.9974
54.1,0.00072822,11.9974
54.2,0.000716184,11.9975
54.3,0.000704346,11.9975
54.4,0.000692704,11.9976
54.5,0.000681255,11.9976
54.6,0.000669995,11.9976
54.7,0.000658921,11.9977
54.8,0.00064803,11.9977
54.9,0.000637319,11.9978
55,0.000626785,11.9978
55.1,0.000616425,11.9978
55.2,0.000606236,11.9979
55.3,0.000596216,11.9979
55.4,0.000586362,11.9979
55.5,0.00057667,11.998
55.6,0.000567138,11.998
55.7,0.000557764,11.998
55.8,0.000548545,11.9981
55.9,0.000539479,11.9981
56,0.000530562,11.9981
56.1,0.000521793,11.9982
56.2,0.000513168,11.9982
56.3,0.000504686,11.9982
56.4,0.000496344,11.9982
56.5,0.000488141,11.9983
56.6,0.000480072,11.9983
56.7,0.000472137,11.9983
